Nome,Categoria,Tempo,Stagioni,Pianificazione,Freezer,Avanzi,Gradimento,Porzioni,Ingredienti,Link
Bistecca,Carne,Express (≤20min),Tutto l'anno,nessuna,non-adatta,meglio-fatta,ci-piace,3 porzioni,Bistecche di manzo: 3 (circa 200 g l'una) | Olio EVO: q.b. | Sale: q.b. | Pepe: q.b.,https://www.agrodolce.it/ricette/bistecca-ai-ferri
Pollo alla senape,Carne,Veloce (20-30),Tutto l'anno,nessuna,meal-prep,buona,ci-piace,3 porzioni,Petto di pollo: 450 g (3 fette) | Farina: 1 cucchiaio | Senape di Digione: 2 cucchiai | Senape in grani: 1 cucchiaio | Miele: 1 cucchiaio | Panna da cucina: 100 ml | Olio EVO: q.b. | Sale: q.b. | Pepe: q.b.,https://www.cookist.it/pollo-alla-senape-ricetta/
Frittata con avanzi,Uova,Veloce (20-30),Tutto l'anno,nessuna,non-adatta,buona,ci-piace,3 porzioni,Pasta o riso avanzati: circa 300 g | Uova: 5 | Parmigiano grattugiato: 40 g | Olio EVO: q.b. | Sale: q.b. | Pepe: q.b.,https://risparmiare.mammafelice.it/cucina-degli-avanzi-la-frittata-di-pasta/
Pollo alla piastra,Carne,Veloce (20-30),Tutto l'anno,nessuna,non-adatta,buona,ci-piace,3 porzioni,"Petto di pollo: 450 g (3 fette) | Limone: 1 (succo e scorza) | Rosmarino: 1 rametto | Aglio: 1 spicchio, facoltativo | Olio EVO: 2 cucchiai | Sale: q.b. | Pepe: q.b.",https://www.cookist.it/pollo-alla-piastra-la-ricetta/
Pollo alla valdostana,Carne,Normale (30-45),Tutto l'anno,nessuna,non-adatta,meglio-fatta,ci-piace,3 porzioni,Petto di pollo: 500 g | Prosciutto cotto: 6 fette | Fontina: 150 g | Farina: q.b. | Olio EVO: q.b. | Sale: q.b. | Pepe: q.b.,https://www.cookist.it/pollo-alla-valdostana-la-ricetta/
Trancio di salmone al forno,Pesce,Veloce (20-30),Tutto l'anno,nessuna,non-adatta,meglio-fatta,ci-piace,3 porzioni,"Tranci di salmone: 3 (circa 180 g l'uno) | Limone: 1 | Prezzemolo: q.b. | Aglio: 1 spicchio, facoltativo | Olio EVO: q.b. | Sale: q.b. | Pepe: q.b.",https://www.fattoincasadabenedetta.it/ricetta/salmone-al-forno/
Polpette al sugo,Carne,Lunga (45-90),Tutto l'anno,nessuna,congelabile,ottima,ci-piace,3 porzioni,Carne macinata di manzo: 400 g | Pane raffermo: 50 g | Latte: q.b. per ammollare il pane | Uovo: 1 | Parmigiano grattugiato: 40 g | Prezzemolo: q.b. | Passata di pomodoro: 500 g | Cipolla o aglio: 1/2 cipolla o 1 spicchio d'aglio | Basilico: q.b. | Olio EVO: q.b. | Sale: q.b. | Pepe: q.b.,https://www.tavolartegusto.it/ricetta/polpette-al-sugo/
Polpette al forno,Carne,Lunga (45-90),Tutto l'anno,nessuna,base,meglio-fatta,ci-piace,3 porzioni,Carne macinata mista: 400 g | Pane raffermo: 50 g | Latte: q.b. per ammollare il pane | Uovo: 1 | Parmigiano grattugiato: 40 g | Prezzemolo: q.b. | Pangrattato: per la panatura | Olio EVO: q.b. | Sale: q.b. | Pepe: q.b.,https://www.agrodolce.it/ricette/polpette-al-forno
Saltimbocca alla romana,Carne,Veloce (20-30),Tutto l'anno,nessuna,non-adatta,meglio-fatta,ci-piace,3 porzioni,Fettine di vitello: 6 piccole | Prosciutto crudo a fette: 6 fette | Salvia: 6-12 foglie | Farina: q.b. | Burro: 40 g | Vino bianco: mezzo bicchiere | Sale: q.b.,https://www.tavolartegusto.it/ricetta/saltimbocca-alla-romana-ricetta-originale/
Scaloppine al limone,Carne,Veloce (20-30),Tutto l'anno,nessuna,non-adatta,meglio-fatta,ogni-tanto,3 porzioni,Fettine di vitello: 500 g | Farina: per infarinare | Limone: 1 | Burro: 30 g | Prezzemolo: q.b. | Olio EVO: q.b. | Sale: q.b. | Pepe: q.b.,https://www.cucchiaio.it/ricetta/scaloppine-al-limone/
Scaloppine ai funghi,Carne,Normale (30-45),Autunno,nessuna,non-adatta,buona,ogni-tanto,3 porzioni,"Fettine di vitello: 450 g | Funghi champignon: 300 g | Farina: 30 g | Burro: 30 g | Aglio: 1 spicchio | Vino bianco: mezzo bicchiere, facoltativo | Prezzemolo: q.b. | Olio EVO: q.b. | Sale: q.b. | Pepe: q.b.",https://www.cucchiaio.it/ricetta/scaloppine-ai-funghi/
Straccetti di manzo rucola e grana,Carne,Veloce (20-30),Tutto l'anno,nessuna,non-adatta,buona,ci-piace,3 porzioni,Straccetti di manzo: 450 g | Rucola: 80 g | Grana o parmigiano a scaglie: 60 g | Limone: succo di mezzo | Olio EVO: q.b. | Sale: q.b. | Pepe: q.b.,https://www.lacucinaimperfetta.com/straccetti-di-manzo-con-la-rucola/
Involtini di carne,Carne,Normale (30-45),Tutto l'anno,nessuna,meal-prep,buona,ci-piace,3 porzioni,Fettine di manzo: 6 | Prosciutto cotto: 6 fette | Provola a cubetti: 100 g | Pangrattato: 2 cucchiai | Parmigiano grattugiato: 2 cucchiai | Prezzemolo: q.b. | Aglio: 1 spicchio | Passata di pomodoro: 400 g | Cipolla: 1 | Vino bianco: mezzo bicchiere | Olio EVO: q.b. | Sale: q.b. | Pepe: q.b.,
Pollo alla cacciatora,Carne,Lunga (45-90),Tutto l'anno,nessuna,congelabile,ottima,ci-piace,3 porzioni,"Pollo a pezzi (cosce o petto): 700 g | Cipolla: 1 | Sedano: 1 gambo | Carota: 1 pezzo | Pomodori pelati: 400 g | Vino bianco: mezzo bicchiere | Rosmarino: q.b. | Olive nere: facoltative, 80 g | Olio EVO: q.b. | Sale: q.b. | Pepe: q.b.",https://www.fattoincasadabenedetta.it/ricetta/pollo-alla-cacciatora/
Pollo al forno con patate e rosmarino,Carne,Lunga (45-90),Tutto l'anno,nessuna,non-adatta,ottima,ci-piace,3 porzioni,Pollo a pezzi (cosce o sovracosce): 800 g | Patate: 600 g | Aglio: 2 spicchi | Rosmarino: abbondante | Olio EVO: q.b. | Sale: q.b. | Pepe: q.b.,https://www.agrodolce.it/ricette/pollo-al-forno-con-rosmarino-e-patate
Cotoletta alla milanese,Carne,Normale (30-45),Tutto l'anno,nessuna,non-adatta,meglio-fatta,ci-piace,3 porzioni,"Fettine di vitello (o lombata): 3 | Uova: 2 | Pangrattato: 150 g | Farina: facoltativa, q.b. | Burro: 80 g | Sale: q.b. | Limone: per servire",https://www.cucchiaio.it/ricetta/cotoletta-alla-milanese/
Salsiccia al forno con patate e peperoni,Carne,Lunga (45-90),"Estate, Autunno",nessuna,meal-prep,buona,ci-piace,3 porzioni,Salsiccia: 500 g | Patate: 500 g | Peperoni: 2 | Aglio: 1-2 spicchi | Rosmarino: qualche rametto | Olio EVO: q.b. | Sale: q.b. | Pepe: q.b.,https://www.misya.info/ricetta/salsicce-con-peperoni-e-patate.htm
Arista o arrosto di maiale al latte,Carne,Lunga (45-90),Tutto l'anno,nessuna,congelabile,ottima,ci-piace,4 porzioni,Arista o lonza di maiale: 800 g | Latte: 500 ml | Cipolla: 1 | Rosmarino: q.b. | Salvia: q.b. | Vino bianco: mezzo bicchiere | Olio EVO: q.b. | Sale: q.b. | Pepe: q.b.,https://www.cookist.it/arista-di-maiale-al-latte-ricetta/
Spezzatino di manzo con patate,Carne,Lunga (45-90),"Autunno, Inverno",nessuna,congelabile,ottima,ci-piace,3 porzioni,Polpa di manzo per spezzatino: 500 g | Patate: 500 g | Carota: 1 pezzo | Sedano: 1 pezzo | Cipolla: 1 pezzo | Passata di pomodoro: 200 g | Vino rosso: mezzo bicchiere | Farina: per infarinare | Brodo o acqua: q.b. | Olio EVO: q.b. | Sale: q.b. | Pepe: q.b.,https://www.cucchiaio.it/ricetta/spezzatino-con-patate/
Brasato al vino rosso,Carne,Progetto (>90),"Autunno, Inverno",marinatura,congelabile,ottima,ci-piace,4 porzioni,Manzo per brasato (muscolo o cappello del prete): 800 g | Vino rosso corposo: circa 750 ml | Carota: 1 pezzo | Sedano: 1 pezzo | Cipolla: 1 pezzo | Alloro: 1-2 foglie | Chiodi di garofano: 2 | Farina: per infarinare | Olio EVO: q.b. | Sale: q.b. | Pepe: q.b.,https://www.eataly.net/it_it/magazine/ricette/ricetta-originale-brasato
Uova al tegamino con pomodoro,Uova,Veloce (20-30),Tutto l'anno,nessuna,non-adatta,meglio-fatta,ci-piace,3 porzioni,"Uova: 6 | Passata di pomodoro (o pomodorini): 400 ml | Aglio (o mezza cipolla): 1 spicchio | Olio EVO: q.b. | Basilico: q.b. | Sale: q.b. | Pepe: q.b. | Zucchero: facoltativo, un pizzico",https://www.agrodolce.it/ricette/uova-al-tegame
Uova in purgatorio,Uova,Veloce (20-30),Tutto l'anno,nessuna,non-adatta,meglio-fatta,ci-piace,3 porzioni,Uova: 6 | Passata di pomodoro: 300 ml | Aglio: 1 spicchio | Basilico: q.b. | Olio EVO: q.b. | Sale: q.b. | Pepe: q.b. | Pane per servire: q.b.,https://www.dissapore.com/ricette/uova-in-purgatorio/
Frittata di zucchine e parmigiano,Uova,Veloce (20-30),Estate,nessuna,non-adatta,buona,ci-piace,3 porzioni,"Uova: 6 | Zucchine: 2 | Parmigiano grattugiato: 50 g | Cipolla: facoltativa, 1/2 | Prezzemolo: q.b. | Olio EVO: q.b. | Sale: q.b. | Pepe: q.b.",https://www.ricettealvolo.it/frittata-di-zucchine-ricetta-facile/
Frittata di patate,Uova,Normale (30-45),Tutto l'anno,nessuna,congelabile,buona,ci-piace,3 porzioni,"Uova: 6 | Patate: 3 medie | Cipolla: facoltativa, 1/2 | Parmigiano grattugiato: facoltativo, 40 g | Olio EVO: q.b. | Sale: q.b. | Pepe: q.b.",https://www.soniaperonaci.it/frittata-di-patate/
Parmigiana di melanzane,Verdure,Lunga (45-90),Estate,nessuna,congelabile,ottima,ci-piace,4 porzioni,Melanzane: 3 grandi | Passata di pomodoro: 500 g | Mozzarella: 300 g | Parmigiano grattugiato: 80 g | Cipolla: 1/2 | Basilico: q.b. | Olio EVO: q.b. | Olio per friggere: abbondante | Sale: q.b.,https://www.cucchiaio.it/ricetta/ricetta-parmigiana-melanzane/
Frittata al forno con verdure e formaggio,Uova,Normale (30-45),Tutto l'anno,nessuna,congelabile,buona,ci-piace,3 porzioni,"Uova: 6 | Verdure miste (zucchine, carote, spinaci): circa 400 g | Latte: 50 ml | Formaggio grattugiato: 50 g | Olio EVO: q.b. | Sale: q.b. | Pepe: q.b.",https://blog.giallozafferano.it/allacciateilgrembiule/frittata-al-forno/
Pasta e ceci,Legumi,Lunga (45-90),"Autunno, Inverno",ammollo,base,buona,ci-piace,3 porzioni,Ceci secchi: 150 g | Pasta piccola: 180–210 g | Passata di pomodoro: 200 g | Aglio: 1 spicchio | Rosmarino: 1 rametto | Olio EVO: q.b. | Sale: q.b. | Pepe: q.b. | Acqua o brodo: q.b.,
Pasta e fagioli,Legumi,Lunga (45-90),"Autunno, Inverno",ammollo,base,ottima,ci-piace,3 porzioni,"Fagioli borlotti o cannellini già cotti: 400 g | Pasta corta (ditalini o mista): 150 g | Passata di pomodoro o concentrato: 2 cucchiai di concentrato o 200 g passata | Cipolla: 1/2 | Sedano: facoltativo, 1 gambo | Carota: facoltativa, 1 pezzo | Rosmarino o alloro: q.b. | Brodo vegetale o acqua calda: circa 700 ml | Olio EVO: q.b. | Sale: q.b. | Pepe: q.b.",https://www.cookist.it/pasta-e-fagioli-ricetta/
Pasta e lenticchie,Legumi,Normale (30-45),"Autunno, Inverno",nessuna,base,ottima,ci-piace,3 porzioni,Lenticchie già cotte: 400 g | Pasta corta (ditalini o tubetti): 150 g | Cipolla: 1/2 | Sedano: 1 gambo | Carota: 1 pezzo | Passata di pomodoro o concentrato: 2 cucchiai o 200 g | Alloro: 1 foglia | Brodo vegetale o acqua: circa 700 ml | Olio EVO: q.b. | Sale: q.b. | Pepe: q.b.,https://www.tavolartegusto.it/ricetta/pasta-e-lenticchie/
Ceci in umido al pomodoro e rosmarino + pane,Legumi,Lunga (45-90),Tutto l'anno,ammollo,congelabile,ottima,ci-piace,3 porzioni,"Ceci già cotti: 500 g | Passata di pomodoro: 300 g | Cipolla: 1/2 | Aglio: 1 spicchio | Rosmarino: 1 rametto | Alloro: 1 foglia, facoltativo | Brodo vegetale o acqua: q.b. | Pane casereccio: per servire | Olio EVO: q.b. | Sale: q.b. | Pepe: q.b.",https://blog.giallozafferano.it/allacciateilgrembiule/ricetta-ceci-in-umido/
Lenticchie in umido + uovo/pane,Legumi,Normale (30-45),"Autunno, Inverno",nessuna,base,buona,ci-piace,3 porzioni,"Lenticchie già cotte: 500 g | Carota: 1 pezzo | Sedano: 1 pezzo | Cipolla: 1 pezzo | Passata di pomodoro: 200 g | Alloro: 1 foglia | Uova: 3 (una a testa, all'occhio di bue) | Pane casereccio: per servire | Olio EVO: q.b. | Sale: q.b. | Pepe: q.b.",https://blog.giallozafferano.it/annatorte/lenticchie-in-umido-con-uova-allocchio-di-bue/
Fagioli all'uccelletto + pane/salsiccia,Legumi,Lunga (45-90),"Autunno, Inverno",ammollo,congelabile,buona,ci-piace,3 porzioni,"Fagioli cannellini già cotti: 500 g | Aglio: 2 spicchi | Salvia: qualche foglia | Rosmarino: facoltativo, un rametto | Passata di pomodoro: 200 g | Salsiccia: facoltativa, 200 g | Pane casereccio: per servire | Olio EVO: q.b. | Sale: q.b. | Pepe: q.b.",https://www.cookist.it/fagioli-alluccelletto-la-ricetta/
Zuppa di legumi e cereali,Legumi,Lunga (45-90),"Autunno, Inverno",nessuna,congelabile,ottima,ci-piace,4 porzioni,"Legumi misti già cotti (ceci, fagioli, lenticchie): 400 g | Cereali misti (farro, orzo perlato): 150 g | Carota: 1 pezzo | Sedano: 1 pezzo | Cipolla: 1 pezzo | Pomodori o pelati: 200 g | Rosmarino: q.b. | Alloro: q.b. | Brodo vegetale o acqua: circa 1 litro | Olio EVO: q.b. | Sale: q.b. | Pepe: q.b.",https://www.ilclubdellericette.it/ricetta/zuppa-di-legumi-e-cereali
Farinata di ceci con verdure/formaggi,Legumi,Lunga (45-90),Tutto l'anno,prep-anticipata,congelabile,buona,ci-piace,3 porzioni,"Farina di ceci: 150 g | Acqua: 450 ml | Olio EVO: 5 cucchiai | Sale: q.b. | Verdure a piacere (zucchine, cipolla) o formaggio: facoltativi, circa 150 g | Rosmarino: facoltativo | Pepe: q.b.",https://www.tavolartegusto.it/ricetta/ricetta-farinata-di-ceci/
Salmone al cartoccio con limone ed erbe,Pesce,Normale (30-45),Tutto l'anno,nessuna,non-adatta,meglio-fatta,ci-piace,3 porzioni,"Filetti di salmone: 3 (circa 150 g l'uno) | Limone: 1 | Timo: q.b. | Rosmarino: q.b. | Prezzemolo: q.b. | Aglio: 1 spicchio, facoltativo | Olio EVO: q.b. | Sale: q.b. | Pepe: q.b.",https://www.cookist.it/salmone-al-cartoccio-la-ricetta/
Salmone con zucchine,Pesce,Veloce (20-30),Estate,nessuna,non-adatta,buona,ci-piace,3 porzioni,Filetti di salmone: 3 (circa 150 g l'uno) | Zucchine: 3 | Aglio: 1 spicchio | Olio EVO: q.b. | Sale: q.b. | Pepe: q.b. | Prezzemolo: facoltativo,https://www.agrodolce.it/ricette/salmone-e-zucchine-in-padella
Orata/branzino al forno con patate,Pesce,Lunga (45-90),Tutto l'anno,nessuna,non-adatta,meglio-fatta,ogni-tanto,3 porzioni,Orata o branzino (anche filetti): 2 (circa 400 g l'una) | Patate: 600 g | Limone: 1 | Aglio: 2 spicchi | Rosmarino: q.b. | Olio EVO: q.b. | Sale: q.b. | Pepe: q.b.,https://www.cucchiaio.it/ricetta/orata-forno-patate/
Polpette di tonno e patate,Pesce,Lunga (45-90),Tutto l'anno,nessuna,base,buona,ci-piace,3 porzioni,Patate: 3 medie | Tonno in scatola: 250 g | Uovo: 1 | Parmigiano grattugiato: 40 g | Prezzemolo: q.b. | Pangrattato: per la panatura | Olio per friggere: q.b. | Sale: q.b. | Pepe: q.b.,https://www.cucchiaio.it/ricetta/polpette-di-tonno-e-patate/
Filetti di merluzzo gratinati,Pesce,Normale (30-45),Tutto l'anno,nessuna,non-adatta,meglio-fatta,ci-piace,3 porzioni,Filetti di merluzzo: 3 (circa 150 g l'uno) | Pangrattato: 80 g | Prezzemolo: q.b. | Limone (scorza e succo): 1 | Aglio: 1 spicchio | Olio EVO: q.b. | Sale: q.b. | Pepe: q.b.,https://www.ilclubdellericette.it/ricetta/merluzzo-gratinato-al-forno
Pesce al forno alla mediterranea,Pesce,Normale (30-45),Estate,nessuna,non-adatta,meglio-fatta,ogni-tanto,3 porzioni,"Filetti di pesce bianco (orata, branzino o simili): 3 (circa 180 g l'uno) | Pomodorini: 200 g | Olive nere: 60 g | Capperi: 20 g | Aglio: 1 spicchio | Origano: q.b. | Prezzemolo: q.b. | Olio EVO: q.b. | Sale: q.b.",https://spadellandia.it/secondi/pesce/orata-al-forno-alla-mediterranea/
Zucchine ripiene,Verdure,Lunga (45-90),Estate,nessuna,congelabile,buona,ci-piace,3 porzioni,"Zucchine: 4-5 | Carne macinata: 300 g | Uovo: 1 | Parmigiano grattugiato: 40 g | Pane raffermo: 1 fetta | Pangrattato: q.b. | Prezzemolo: q.b. | Passata di pomodoro: facoltativa, 200 g | Olio EVO: q.b. | Sale: q.b. | Pepe: q.b.",https://www.cucchiaio.it/ricetta/zucchine-ripiene-di-carne/
Zucchine gratinate al forno,Verdure,Normale (30-45),Estate,nessuna,non-adatta,buona,ci-piace,3 porzioni,Zucchine: 5–6 | Pangrattato: 80 g | Parmigiano grattugiato: 40 g | Aglio: 1 spicchio | Prezzemolo: q.b. | Olio EVO: q.b. | Sale: q.b. | Pepe: q.b.,https://www.cucchiaio.it/ricetta/zucchine-gratinate-al-forno/
Peperonata,Verdure,Lunga (45-90),Estate,nessuna,congelabile,ottima,ci-piace,3 porzioni,"Peperoni misti (rossi e gialli): 3 | Cipolla: 1 | Pomodori pelati o passata: 300 g | Olio EVO: q.b. | Sale: q.b. | Pepe: q.b. | Basilico: q.b. | Zucchero: facoltativo, un cucchiaino per bilanciare l'acidità",https://ricette.giallozafferano.it/Peperonata.html
Peperoni ripieni,Verdure,Lunga (45-90),Estate,nessuna,congelabile,ottima,ci-piace,3 porzioni,Peperoni: 3 | Carne macinata mista: 350 g | Uovo: 1 | Parmigiano grattugiato: 40 g | Pangrattato: 40 g | Prezzemolo: q.b. | Olio EVO: q.b. | Sale: q.b. | Pepe: q.b.,https://www.cucchiaio.it/ricetta/peperoni-ripieni/
Asparagi al forno con uovo e parmigiano,Verdure,Normale (30-45),Primavera,nessuna,non-adatta,buona,ci-piace,3 porzioni,Asparagi: 500 g | Uova: 4 | Parmigiano grattugiato: 50 g | Burro: 30 g | Sale: q.b. | Pepe: q.b.,
Melanzane ripiene,Verdure,Lunga (45-90),Estate,nessuna,congelabile,buona,ci-piace,3 porzioni,"Melanzane: 3 | Passata di pomodoro: 250 g | Mozzarella: 150 g | Aglio: 1 spicchio | Basilico: q.b. | Olive nere: facoltative, 50 g | Olio EVO: q.b. | Sale: q.b.",https://www.tavolartegusto.it/ricetta/ricetta-melanzane-ripiene/
Verdure miste al forno con patate,Verdure,Lunga (45-90),Tutto l'anno,nessuna,congelabile,ottima,ci-piace,3 porzioni,Patate: 3 medie | Zucchine: 2 | Peperoni: 1-2 | Melanzane: 1 | Cipolla rossa: 1 | Rosmarino: q.b. | Olio EVO: q.b. | Sale: q.b. | Pepe: q.b.,https://www.tavolartegusto.it/ricetta/verdure-al-forno/
Cavolfiore gratinato,Verdure,Lunga (45-90),"Autunno, Inverno",nessuna,meal-prep,buona,ci-piace,3 porzioni,Cavolfiore: 1 (circa 800 g-1 kg) | Burro: 30 g | Farina: 30 g | Latte: 400 ml | Parmigiano grattugiato: 60 g | Pangrattato: 2 cucchiai | Noce moscata: q.b. | Sale: q.b. | Pepe: q.b.,https://www.cucchiaio.it/ricetta/cavolfiore-gratinato/
Amatriciana,Pasta,Veloce (20-30),Tutto l'anno,nessuna,non-adatta,buona,ci-piace,3 porzioni,Spaghetti o bucatini: 210 g | Guanciale: 100 g | Pomodori pelati o passata rustica: 300 g | Pecorino romano: 55–60 g | Peperoncino: facoltativo,
Gricia,Pasta,Veloce (20-30),Tutto l'anno,nessuna,non-adatta,meglio-fatta,ci-piace,3 porzioni,Rigatoni o spaghetti: 240 g | Guanciale: 150 g | Pecorino romano grattugiato: 100 g | Pepe: q.b.,https://www.soniaperonaci.it/pasta-alla-gricia/
Carbonara,Pasta,Veloce (20-30),Tutto l'anno,nessuna,non-adatta,meglio-fatta,ci-piace,3 porzioni,Spaghetti: 210 g | Guanciale: 100 g | Tuorli: 3 | Uovo: 1 | Pecorino romano: 70 g | Pepe: q.b.,
Puttanesca,Pasta,Veloce (20-30),Tutto l'anno,nessuna,base,buona,ci-piace,3 porzioni,Spaghetti: 240 g | Pomodori pelati o pomodorini freschi: 400 g | Olive nere di Gaeta: 80 g | Capperi: 30 g | Acciughe sott'olio: 3-4 filetti | Aglio: 2 spicchi | Peperoncino: facoltativo | Prezzemolo: q.b. | Olio EVO: q.b.,https://www.cucchiaio.it/ricetta/pasta-alla-puttanesca/
Pasta con crema di zucchine e parmigiano,Pasta,Veloce (20-30),Estate,nessuna,base,ottima,ci-piace,3 porzioni,Pasta: 210 g | Zucchine: 3 | Scalogno piccolo: 1 | Parmigiano grattugiato: 55–60 g | Olio EVO: q.b. | Sale: q.b. | Pepe: q.b. | Basilico o menta: facoltativi,
Pasta al forno,Pasta,Lunga (45-90),Tutto l'anno,nessuna,congelabile,ottima,ci-piace,4 porzioni,"Pasta corta (rigatoni o mezze maniche): 350 g | Carne macinata mista: 300 g | Carota: 1 pezzo | Sedano: 1 pezzo | Cipolla: 1 pezzo | Passata di pomodoro: 400 g | Vino rosso: facoltativo, mezzo bicchiere | Besciamella: circa 400 ml | Mozzarella: 200 g | Parmigiano grattugiato: 60 g | Olio EVO: q.b. | Sale: q.b. | Pepe: q.b.",https://www.cookaround.com/ricetta/pasta-al-forno.html
Cannelloni ricotta e spinaci,Pasta,Lunga (45-90),Tutto l'anno,nessuna,congelabile,buona,ci-piace,4 porzioni,Cannelloni (secchi o sfoglie di pasta fresca): 16-18 | Spinaci: 500 g | Ricotta: 300 g | Uovo: 1 | Parmigiano grattugiato: 60 g | Besciamella: circa 400 ml | Noce moscata: q.b. | Olio EVO o burro: q.b. | Sale: q.b. | Pepe: q.b.,https://www.fattoincasadabenedetta.it/ricetta/cannelloni-ricotta-spinaci/
Gnocchi alla romana,Riso,Lunga (45-90),"Autunno, Inverno",nessuna,base,buona,ci-piace,3 porzioni,Semolino: 150 g | Latte: 600 ml | Burro: 60 g | Parmigiano grattugiato: 70 g | Tuorli: 2 | Noce moscata: q.b. | Sale: q.b.,https://www.tavolartegusto.it/ricetta/ricetta-gnocchi-alla-romana/
Pollo al limone e rosmarino,Carne,Veloce (20-30),Tutto l'anno,nessuna,meal-prep,buona,ci-piace,3 porzioni,"Sovracosce di pollo (o petto): 500–600 g | Limone: 1 | Rosmarino: 1-2 rametti | Vino bianco: facoltativo, per sfumare | Olio EVO: q.b. | Sale: q.b. | Pepe: q.b.",https://blog.giallozafferano.it/lericettediziasimona/pollo-al-limone-e-rosmarino-in-padella/
